,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,hacksaw chisel carbide coring screwdriver pliers blade cutter lathe shears,drill knife,china scorpion spell bear robin lead,tie leprechaun box heart hood degree calf bill table,card stadium time palm film line,tail
1,timpani euphonium tipper cornet bassoon Fanfare tusk tuba trombone excavator,horn crane,chair temple note canada cricket comic,hood snow wave lawyer arm wind moon bond wake,glove tag head undertaker straw tick,fly
2,manicure polish mascara concealer Essie eyelash lipstick cuticle remover bronzer,nail brush,table bat parachute school scale dwarf,slug chair needle cook boom nut cliff press pipe,web game scale foot light poison,unicorn
3,good reasonable especially reasonably excellent honest quite important better outstanding,fair well,robot tower apple copper superhero stadium,fighter cliff unicorn vet mouse honey laser shark giant,code diamond change pilot fair row,strike
4,School student teacher elementary kindergarten undergraduate enrolled graduate curriculum tuition,pupil school,contract band olive slug hook point,bat glove server dwarf pirate thief well hawk eagle,stadium state tap paper cell tower,boom
5,touch finger buttons button display phone wrist scroll bracelet clasp,hand ring screen,ruler limousine lion capital hospital,park cap part roulette sound net bond laser washer,hospital boom suit well cast key,moon
6,reset override disable modify revert overwrite default delete deactivate adjust,lock change,spell buffalo degree bell kiwi band,gas swing circle screen smuggler piano china water forest,draft conductor bill tooth duck wind,dress
7,meerkat hyena pygmy baboon lemur Nandi Asiatic albino bearded Cygnus,lion dwarf,string leprechaun conductor grace contract board,bank spider pan fire bar olive buffalo yard chick,slip well day cook ground heart,dinosaur
8,balsamic almond apricot paprika thyme tablespoon vinaigrette rosemary vinegar hazelnut,olive honey,princess thief spine dance fair check,root fair disease revolution arm park hook log horn,forest moon soul cold glass switch,tube
9,fencing paddock berm grandstand driveway barricade gazebo walkway corral carport,pit fence,switch dice queen pound stadium code,link smuggler engine sink bolt triangle vet web hand,fighter glove canada rock casino date,buck
10,woodland seashore coastal vegetation mangrove grassland secluded savanna sandy bushland,forest beach,undertaker server compound engine needle slip,drop grace vet pan organ screen beach port button,litter march post gas ketchup horn,comic
11,peal onion shallot dill enchilada pepper celery parsley jingling carillon,bell jack,ivory hand court conductor theater poison,ball plane genius comic eye port triangle fan battery,knife horseshoe block model bow glass,air
12,outfield infield mound inning dugout fielder hitter singled slope leadoff,pitch ground,beat skyscraper theater cook angel fighter,shot spy crash tie paste horseshoe ruler button plastic,center leprechaun triangle pumpkin link slip,pin
13,turbo diesel automobile mustang ford corvette auto coupe supercharged automotive,car engine dragon,pistol mouse concert nail queen,row fork luck snow thief plane suit force wind,grass lemon washer mount compound line,arm
14,career coaching membership league camaraderie extracurricular companionship youth enjoyment fitness,club life,police mug date satellite scale iron,beach scientist eye back lion embassy port cell disease,fall washer hook boot marble game,fan
15,mice uncheck rodent antibody cursor virus antigen disable infected latency,tick mouse,shark dice honey model spike alien,horn hook fish triangle jack litter card undertaker princess,mole sock slip mouth dress pupil,dance
16,tubing threaded piping flange hose tubular conduit separator diameter coiled,pipe string,spring ring vet dwarf strike stadium,witch lemon march smuggler degree cricket buck bar fighter,pistol bear genius band fish plastic,change
17,illumination bright fluorescent orange bluish glow tint translucent incandescent blue,green light,plate cycle mouse shot drill point,paper queen belt fighter watch eagle cell fall worm,ship telescope cold port soldier revolution,teacher
18,sorcerer hag invisibility amulet sorcery ghoul priestess warlock Templar dagger,cloak witch,teacher millionaire hole bond comic casino,staff cold shop robot stadium state forest dance tie,whale water bank plot wall swing,piano
19,liqueur pint lemon fizzy lime vodka raspberry sherbet bitters grapefruit,bottle orange,heart hole state hood ring capital,fall fly table pole belt glove spy mouth part,chair file undertaker cricket degree smuggler,death
