,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,flying paranormal aboard haunt late,back pilot ghost,turkey robin mole racket grace,washer film fork kiwi circle march spider button tooth,giant band skyscraper air pit box server,mount
1,level magnitude severity extent greater,scale degree,tower bark bow light washer embassy,spider spy octopus cook engine pan pilot diamond tail,police vacuum flute part file skyscraper wall,princess
2,calves quadriceps hamstring calve tendon,calf,scientist theater ground fire ghost beat litter,robin temple green novel date eye trip calf horn,nurse fire pupil bill pistol slip apple,hood
3,teaching educator student tutor classroom,teacher time,nut seal eye nail buffalo jack,stadium bell worm slug film shot bolt model novel,agent bug jam pistol diamond play octopus,opera
4,xylophone trumpet tambourine glockenspiel railing,giant carrot horn fence,fighter embassy key missile,mammoth change laser dice cap vet stream worm slug,pilot ketchup berry fighter band lead limousine,snow
5,lounge saloon airliner restaurant cocktail,bar jet,straw poison film snow yard unicorn,mouse track match helicopter server row net press king,soldier doctor lemon day organ phoenix turkey,part
6,knotted knotting clinch sewn scoreless,tie,water cook key chest pool buck disease,file block stock bear charge note plot giant light,pole battery chest triangle foot pistol ruler,point
7,zucchini mango avocado chard papaya,kiwi pumpkin,kangaroo deck bar part death point,honey band degree swing ball fall bear nail apple,pilot spot cloak bat tick bar log,giant
8,lounge cabana patio tub hangout,pool spot bar,shadow scale alien block space,shadow ship pin night tooth eye mass arm novel,switch tag bed staff bear tower spider,card
9,superhero comedic manga animated comedy,comic robot,stick horseshoe chair swing litter embassy,lawyer fence bug life tablet tag train foot yard,bow drill sock helicopter litter paste cap,limousine
10,salmon carp tuna mackerel trout,fish iron,cloak pupil trunk pass ambulance doctor,bell star ball button conductor rock light horseshoe chair,needle charge drill platypus state parachute gold,diamond
11,plating centimeter mound arches tibia,plate foot,phoenix film fire spell file robot,mouth whale ambulance apple play mouse agent stock cold,battery bugle arm scorpion scale microscope light,hook
12,espionage courtesan seductress nobleman heroine,spy princess cloak,battery pin turkey crash press,giant orange ground file kangaroo vacuum sound yard king,mug string pole police ketchup pirate washer,chest
13,attorney prosecutor solicitor legislator counsel,lawyer state,chick water key box revolution cell,chick marble slip honey stick scale whip alien watch,grace pie lock nurse arm roulette pilot,forest
14,prince empress duchess royal bride,princess,pin soldier back head string stock spine,grass strike mug bridge piano hole ray buck hook,ketchup kangaroo center queen scorpion octopus tooth,shark
15,teeth molar periodontal dental jaw,tooth,gas degree mug switch washer fish duck,kiwi conductor shop opera ivory fence board switch mouth,rabbit shark church robin jack cross pitch,olive
16,sorrow life mourning eternal mourn,death soul day,jam mouse kiwi thumb mole,fall hook chest agent battery mole shoe figure spine,luck eagle jet skyscraper button drill tick,vet
17,gaping forehead abdomen perforation incision,chest seal hole,poison net alien buffalo rock,apple shadow battery spring force orange buck pit spine,unicorn agent bomb disease ketchup millionaire telescope,bugle
18,charging fee pay incur exorbitant,charge buck,tooth drill brush conductor bark litter,check shot bug horse lab fly night marble cycle,death eagle watch dice spy mole shark,platypus
19,gown costume tiara frock headpiece,princess pumpkin dress,plot bugle conductor bond cliff,train nurse buck beach agent cook hole carrot change,glass whip life thief gold ghost row,air
20,throttle gearbox toggle click turbo,button engine,pound hawk spike day fighter space,marble state spy poison plastic laser time car iron,queen port pole pool log march band,phoenix
21,caterpillar dragonfly wasp ladybug bumblebee,spider tube green,march queen time ambulance missile,dice vacuum port tablet plate film lemon chest net,bond bear shadow contract piano glass eagle,mouth
22,oboe clarinet bassoon trombone trumpet,horn flute,nut game pass trip luck mole,church telescope club comic bomb drill spell crash horseshoe,change deck ruler satellite row train straw,circle
23,chili mayonnaise hamburger sauce bison,buffalo ketchup,lead water comic grace roulette cast,genius screen vet compound wave mass watch organ strike,hawk copper paper doctor plot ball root,contract
24,espionage intelligence cleverness savant mastermind,spy genius,drill trip heart diamond pants moon,cast lock fire bridge chick princess pirate jack bomb,circle compound rose crash orange field hospital,pin
25,starling sparrow finch snail thrush,robin slug,temple night trunk web stock beach,platypus limousine green game olive comic leprechaun shadow fire,circle life box pool slip piano board,server
26,wallaby koala falcon emu buzzard,kangaroo eagle,whip temple spike alien pipe beach,mouth novel snow brush pilot death robot hood row,buck rabbit key port ghost cross thief,match
27,mathematician savant prodigy gifted brilliance,genius pupil,vacuum bugle plate ketchup octopus roulette,moon fly club lion dress shop fork pitch cold,fighter ship jam stock swing stick pass,spike
28,appendage chin jaw forefinger pelvis,tail arm,plot march match stream cell lemon,bark novel princess duck band mug court mammoth well,compound pants bomb track shark flute staff,cross
29,wildebeest waddling gelatinous specie speciation,slug platypus,compound web slip soul circle apple,crown time wake thumb glove tick church pilot pirate,change spine spot mug straw air mass,scorpion
30,fastener spacer crankshaft cartridge hex,bolt cap,shoe web slip pool swing lion,satellite mouth straw spike leprechaun cliff cross hook train,pole pumpkin chick buck center embassy octopus,horn
31,salmon dolphin tuna shark sturgeon,whale fish,pistol church bow crown smuggler crash,nail satellite palm life link staff horn vet pirate,strike beat night kiwi mount box match,bugle
32,hillside vegetation ravine undergrowth precipice,grass cliff,casino bugle pupil heart belt jack,button server apple tap net center undertaker foot circle,board drill paper contract screen doctor death,chocolate
33,oval amphitheater raceway gravel bocce,horseshoe pit,mail ghost opera shark cell satellite,hospital trip slip king bugle pitch jet fall lawyer,square bug screen deck smuggler dance kiwi,angel
34,terrestrial telemetry broadcast cable telecommunication,satellite,church chocolate maple square belt copper disease,roulette chick wall spy row china kiwi box wind,train plane bear trunk green carrot contract,engine
35,coliseum stadia speedway grandstand Coliseum,stadium phoenix pit,foot plane figure cycle wake,center ice pumpkin water boot palm tap plane block,watch battery platypus bond buck thumb cold,screen
36,framework specification adopted prototype Revised,model draft,piano pyramid boot seal eye lion,jet shadow spike table pie vet palm shop theater,swing helicopter fence millionaire button mount opera,block
37,typo quirk unpatched itch uncheck,tick bug,gas fence server pool capital space,plane cold wake teacher knife octopus school ice mouse,space rock ketchup whale millionaire robot temple,grass
38,spooky seance sleepless moonlit drunken,ghost night,drop bow sink dice jack school,track bug check strike yard pyramid cotton charge olive,plate eye deck pie jam march night,temple
39,margin attributable incremental corresponding revenue,key net line,ground scale yard mug draft,bugle circle check eye green calf track stock dance,pound capital stadium forest cotton grace spot,life
