,top_clues,top_friends,low_friends,foes,neutrals,assassin
0,towards north east parallel eastward toward south incline path southward,tail train king shoe march wall degree,platypus,leprechaun torch bell plastic robin tick queen soldier card,beach buffalo time check doctor bug octopus,flute
1,extraterrestrial otherworldly sentient interplanetary malevolent Martian interstellar telepathic supernatural futuristic,alien,circle grass needle degree row triangle robin,line engine row king vet torch march chest pound,slip shoe cricket check smuggler vacuum pumpkin,rabbit
2,slap brandish wield inflict ignore shove shake hurl break poke,spell stick bow,gold fish rabbit pirate cotton,pupil forest mouse flute spider table chair lab genius,pit string pie night pass disease cover,cotton
3,tutor schoolmaster schoolmate schoolteacher learner schoolboy carer classmate School educator,pupil,round head honey spring dress force forest,iron jam hole web mammoth racket root pirate pit,ketchup pipe cover calf hook crash plastic,note
4,pagoda gambling monastery Mohegan synagogue pueblo baccarat tabernacle deity gambler,casino temple eagle,bed compound cycle key pan,slug concert ball belt scale novel bond back cliff,tower pirate pyramid kangaroo copper club lead,mammoth
5,aircraft plane supersonic aerobatic aerobatics flew flown flight biplane airliner,fly jet fighter,eye drop field moon turkey,whale bed drop alien cricket forest millionaire cast cloak,deck pyramid flute march wall fork plot,bug
6,comply allow ensure provide certify circulate run inspect deliver obtain,pass track seal suit air,copper dice spider,capital platypus net nurse crown giant battery cotton luck,pistol code well bow buffalo strike cold,moon
7,payment pay meeting fee dismissal membership termination behalf commission union,board life strike charge card,sock hole litter,fighter canada smuggler bark thumb star server straw pass,air plane tie strike wind tooth slip,engine
8,squire nobleman castle mage cloaked sorcerer swordsman Lord cloak jester,shadow knight,march revolution well head yard nurse,bat switch chick platypus fall ray tail buffalo deck,duck well hawk tag grace pirate ketchup,revolution
9,rotate consecutive switch reset latch key select push ratchet hold,row lock,bear eye dress bow hood hand,fence court lawyer turkey embassy pyramid millionaire robot ship,slug dice opera bed pan cold spine,pumpkin
10,heating propane hospital emergency industrial triage storage kitchen petrol decontamination,ambulance space scale gas knife,calf spy comic,cricket foot spot bridge kangaroo tag horn shark air,olive theater smuggler turkey paper organ straw,string
11,chip slot token stamp sided cribbage chips debit match clamp,board card table pin,knife maple bark drill,theater telescope screen octopus litter water day roulette hood,park moon post change bond pistol novel,teacher
12,interface terminal adapter keyboard cursor controller emulation emulator connectivity peripheral,mouse port,chest beach bed hood buffalo hospital,dragon ice switch pound vet platypus snow figure hand,bomb phoenix watch post china cell lead,whale
13,sleet blizzard sled undercarriage frost wallaby avalanche ski sledging wintry,tail kiwi snow,march play bridge table horseshoe,tap lemon nut beach revolution alien flute pass ray,beat eagle robot air ketchup mug seal,fish
14,nurse physician nursing superintendent counselor doctor clinic School clinician pediatrician,hospital track teacher post,cold honey bark ring,smuggler net ball ice millionaire scale game belt space,dice bell knight dinosaur cotton pass platypus,paper
15,rise spring protest legislation support act summer fell increase plaza,fall mass arm bill park,stream octopus string,drill olive novel car table mouth cliff engine pound,robot circle tap pants ice luck piano,millionaire
16,terrestrial telemetry orbit antenna transmitter unmanned observatory meteorological orbital missile,satellite,duck post opera maple row life pin,tie wave mug string day tick dinosaur shark jack,spring film train brush tooth model horseshoe,web
17,return returned loss regain gains consolidated profit balance gain forwards,net back,plate knife angel palm bark agent,pants point net pipe piano ball church mount jam,bomb server helicopter fly rose wake cover,hole
18,stylus Acer digitizer notebook forefinger capacitive keyboard aloe fingertip handwriting,tablet palm,chair slug glass square copper buck,missile spell yard box pumpkin square row plastic trunk,head root boot court chick post shoe,canada
19,reins bent finger wield fist arm wrist cudgel thumb slap,whip hand,pumpkin bond iron whale water shark,slug platypus nurse wake button knight screen scale dance,stick compound tooth roulette track box rabbit,snow
20,robber bandit pickpocket handgun mugger revolver smuggler piracy assailant swordsman,thief pirate pistol,pyramid check table arm tick,vet boot yard pound berry fork cotton spy bank,cricket string horseshoe mouse dice degree ship,night
21,physicist biologist researcher biochemist microbiologist geneticist astrophysicist chemist ecologist zoologist,scientist,round air ring fish hood unicorn shop,pupil figure bill thumb force casino trunk change wake,line mail contract band horseshoe trip theater,code
22,flame understudy helmed pyre reprise portray tarnish shone pall bronzed,cast torch,hook church web bar degree card,eye dance row tag torch drill plane alien night,concert fork air beach track heart trunk,jack
23,fencing perimeter wall abutting plaza boundary railing gate courtyard diagonally,fence square,cloak draft mail button pass ambulance,light cricket helicopter cliff lion scorpion draft boom chick,ice rock trunk chair police staff parachute,cotton
24,surf surfer dolphin ocean tsunami tide pelican surge Orca tidal,penguin wave,telescope mail date buck hand game,hand agent dinosaur knife pirate cricket spell dwarf button,jam platypus china code nail beat disease,needle
25,possum toad potion skunk hyena dingo sorcery croc scorpion marsupial,poison kangaroo witch pants,file ship casino fighter,nut eye limousine church head pole stock part log,server conductor teacher spike chair yard undertaker,board
26,sleet frost dew dusting mist concealer hemlock shrub mulch mistletoe,poison brush snow spider,part bugle field box,chest lead back hole space green pipe train robot,doctor state fire rose beach spell game,scorpion
